Tree Category,Tree Species,Photo,Overview,What to look for,Where it grows,"Flowers, Fruit & Seeds",Seasonal clues,Source Link
Alder,Alder,alder_id,"• Height: 25-30  | • Shape: narrow, conical crown","• Leaves: dark green and serrated, with a rounded base and a pointed tip, and are arranged alternately on the branches | • Bark: dark grey to blackish and becomes deeply fissured with age","• Often found near water bodies such as rivers, streams, and wetlands | • Have a high tolerance for waterlogged soils","• Long, cylindrical catkins | • Male catkins are yellow and hang in clusters, while female catkins are smaller and green",,https://freetrees.ie/the-alder-tree-alnus-glutinosa
Aspen,Aspen,aspen_id,"• Height: 20-25 meters | • Shape: slender trunk, narrow crown","• Leaves: round to triangular with finely serrated edges, and have a distinctive fluttering movement in even the slightest breeze due to their flattened leaf stalks | • Bark: smooth and light grey for young Aspen trees, becoming darker and furrowed with age, often forming black diamond-shaped markings  | • Noelle's personal favorite tree","• Commonly found in woodlands, particularly in moist, well-drained soils | • Often grow in colonies, forming large clonal groves through underground root systems",,,https://freetrees.ie/the-aspen-tree-populus-tremula
Birch,Downy Birch,downy_birch_id,"• Height: 15-25 meters | • Shape: slender trunk and a narrow, conical crown","• Leaves: alternate, simple, and triangular-ovate in shape, with serrated margins | • They are typically dark green on top and paler underneath, with a downy or hairy texture on the underside | • Bark: smooth and pale gray or white when young, becoming darker and more fissured with age | • It often develops black triangular markings, particularly near the base of the trunk","• Commonly found in moist, acidic soils in woodlands, heathlands, and peat bogs | • They are often associated with other wetland species and are tolerant of waterlogged conditions","• Silver Birch trees produce male and female catkins on separate trees | • Male catkins are long and yellow-brown, while female catkins are shorter and greenish",,https://freetrees.ie/the-downy-birch-etula-pubescens
Birch,Silver Birch,silver_birch_id,"• Typically medium-sized, reaching 15-25 meters of height| • Shape: slender trunk and a narrow, pyramidal crown","• Bark: white, papery that peels in thin, curling strips | • As the tree matures, the bark develops black diamond-shaped markings | • Leaves: Small, triangular-ovate, and toothed along the margins | • They are bright green in colour and turn a golden-yellow in autumn before falling","• Commonly found in a variety of habitats, including woodlands, heathlands, and wetlands | • They often grow in sandy or acidic soils and are tolerant of poor soil conditions","• Male and female catkins on separate trees | • Male catkins are long and yellow-brown, while female catkins are shorter and greenish",• Leaves are bright green in colour and turn a golden-yellow in autumn before falling,https://freetrees.ie/the-silver-birch-betula-pendula
Blackthorn,Blackthorn,blackthorn_id,,"• Leaves: small, oval-shaped, and toothed along the margins, are dark green in color and have a glossy appearance | • Bark: dark grey to blackish and develops rough, fissured ridges with age | • Long, sharp thorns that grow along the branches","• A native deciduous shrub or small tree species in Ireland, often found in hedgerows, woodlands, and scrubland","• White flowers in early spring, typically before the leaves emerge | • Flowers have five petals and appear in clusters along the branches | • Small, round fruits known as sloes | • Sloes are dark blue to black in colour and have a tart, astringent flavour ","• Leaves emerge early in spring and turn yellow before falling in autumn | • White flowers in early spring, typically before the leaves emerge",https://freetrees.ie/the-blackthorn-tree-prunus-spinosa
Hawthorn,Hawthorn,hawthorn_id,,"• Leaves: alternate, lobed, and toothed along the margins, are dark green in colour and have a glossy appearance | • Bark: smooth and greyish-brown when young, becoming rougher and darker with age, often develops shallow fissures and ridges | • Characterised by long, sharp thorns that grow along the branches",,"• Clusters of small, white flowers in late spring to early summer | • The flowers have five petals and a strong, sweet fragrance, attracting pollinators such as bees and butterflies | • Small, red to black fruits known as haws | • The haws are edible but have a sour taste and mealy texture ","• Leaves turn yellow to orange-red in autumn before falling | • Clusters of small, white flowers in late spring to early summer",https://freetrees.ie/the-hawthorn-tree-crataegus-monogyna
Hazel,Hazel,hazel_id,,"• Leaves: alternate, rounded, and doubly serrated along the margins, are dark green in colour and turn yellow to golden-brown in autumn before falling | • Bark: smooth and greyish-brown when young, becoming rougher and darker with age, often develops shallow fissures and irregular ridges","• Commonly found in a variety of habitats, including woodlands, hedgerows, and mixed forests | • Prefer moist, well-drained soils and are often associated with other broadleaf tree species","• Pendulous catkins in late winter to early spring before the leaves emerge | • The male catkins are long and yellow, while the female catkins are shorter and greenish | • After pollination, Hazel trees produce clusters of small, round nuts known as hazelnuts or cobnuts | • The nuts are enclosed in a leafy husk and ripen in late summer to early autumn",• They are dark green in colour and turn yellow to golden-brown in autumn before falling | • Pendulous catkins in late winter to early spring before the leaves emerge | • The nuts are enclosed in a leafy husk and ripen in late summer to early autumn,https://freetrees.ie/the-hazel-tree-corylus-avellana
Oak,Pendunculate Oak,pendunculate_oak_id,"• They can grow to significant heights and are often characterised by their imposing presence in the landscape | • Shape: A broad, spreading canopy with sturdy branches and a straight, tall trunk | ","• Leaves: alternate, lobed, and have deep sinuses between the lobes, are dark green in colour and turn golden-yellow to brown in autumn before falling | • Bark: greyish-brown and develops shallow fissures and ridges with age, has a rough texture and becomes more textured over time","• Commonly found in a variety of habitats, including woodlands, forests, parklands, and hedgerows | • Prefer moist, well-drained soils and are often associated with other broadleaf tree species",• Large acorns that are borne on long stalks (peduncles) | • The acorns have distinctive cupules with overlapping scales,• They are dark green in colour and turn golden-yellow to brown in autumn before falling,https://freetrees.ie/the-pendunculate-oak-tree-quercus-robur
Oak,Sessile Oak,sessile_oak_id,"• They can grow to significant heights and are often characterised by their imposing presence in the landscape | • Shape: A broad, spreading canopy with sturdy branches and a straight, tall trunk | ","• Leaves: alternate, lobed, and have short stalks, are dark green in colour and have rounded lobes with no or very short leaf stalks | • Bark: dark grey to blackish and develops deep fissures and ridges with age, has a rough texture and becomes more rugged over time","• Commonly found in a variety of habitats, including woodlands, forests, upland areas, and mixed-species stands | • They prefer moist, well-drained soils and are often associated with other broadleaf tree species",• Small acorns that are borne directly on the twigs without stalks | • The acorns have distinctive cupules with tightly overlapping scales,,https://freetrees.ie/the-sessile-oak-tree-quercus-petraea
Rowan,Rowan,rowan_id,,"• Leaves: alternate, pinnately compound, and have serrated margins | • Each leaf typically consists of several pairs of leaflets and a terminal leaflet | • Bark: smooth and greyish-brown when young, becoming rougher and darker with age, often develops shallow fissures and irregular ridges","• Commonly found in a variety of habitats, including woodlands, hedgerows, upland areas, and mixed-species stands | • Prefer moist, well-drained soils and are often associated with other broadleaf tree species","• Clusters of small, creamy-white flowers in late spring to early summer | • The flowers have five petals and are arranged in large, flat-topped clusters known as corymbs | • Clusters of small, round berries known as rowan berries or mountain ash berries | • The berries ripen from green to bright red or orange in late summer to early autumn and are a key characteristic of the tree","• The leaflets are dark green in colour and turn yellow to orange-red in autumn before falling | • Clusters of small, creamy-white flowers in late spring to early summer | • The berries ripen from green to bright red or orange in late summer to early autumn and are a key characteristic of the tree",https://freetrees.ie/the-rowan-tree-sorbus-aucuparia
Scots Pine,Scots Pine,scots_pine_id,"• They can grow to significant heights, with some reaching over 30 meters | • Shape: distinctive conical or pyramidal shape, a straight trunk and spreading branches that form a broad crown","• Has evergreen needles that are arranged in pairs and are bluish-green to dark green in colour | • The needles are slender, flexible, and measure around 4-7 centimetres in length | • Bark: reddish-brown to orange-brown and becomes more scaly and furrowed with age | • Younger trees may have smoother bark, while older trees develop rough, irregular plates","• Commonly found in a variety of habitats, including forests, woodlands, heathlands, and upland areas | • They are often associated with acidic soils and tolerate a wide range of environmental conditions","• Oval-shaped cones that are typically reddish-brown when mature | • The cones have thick, woody scales and contain small, winged seeds",,https://freetrees.ie/the-scots-pine-tree-pinus-sylvestris
Willow,Goat Willow,goat_willow_id,"• They can grow to heights of 6-12 meters, depending on environmental conditions and growing conditions | • Shape: A shrubby or small tree-like growth habit, with multiple stems arising from the base","• Leaves: alternate, oval to lanceolate in shape, and have serrated margin, are dark green in color on the upper surface and have a paler underside | • Bark: smooth and greyish-brown when young, becoming rougher and more fissured with age | • It may develop a reddish tinge on older branches and trunks","• Commonly found in a variety of habitats, including woodlands, hedgerows, riverbanks, and wetlands | • They are often associated with other wetland species and can tolerate waterlogged soils and periodic flooding","• Catkins in early spring before the leaves emerge | • The catkins are cylindrical in shape and appear in clusters on separate male and female trees | • Male catkins are longer and more slender, while female catkins are shorter and more compact",• Catkins in early spring before the leaves emerge,https://freetrees.ie/the-goat-willow-tree-salix-caprea
Willow,Eared Willow,,"• They can grow to heights of 3-6 meters, depending on environmental conditions and growing conditions | • Shape: A shrubby or small tree-like growth habit, with multiple stems arising from the base ","• Leaves: alternate, lanceolate to ovate in shape, and have serrated margins, are dark green in colour and have distinctive ""ears"" or auricles at the base of the leaf blade | • Bark: smooth and greyish-brown when young, becoming rougher and more fissured with age | • It may develop a reddish tinge on older branches and trunks","• Commonly found in wetland habitats, including marshes, fens, bogs, and riparian zones | • They are often associated with other wetland species and can tolerate waterlogged soils and periodic flooding","• Catkins in early spring before the leaves emerge | • The catkins are cylindrical in shape and appear in clusters on separate male and female trees | • Male catkins are longer and more slender, while female catkins are shorter and more compact",• Catkins in early spring before the leaves emerge,https://freetrees.ie/the-eared-willow-tree-salix-aurita
Willow,Grey Willow,grey_willow_id,"• They can grow to heights of 3-6 meters, depending on environmental conditions and growing conditions| • Shape: A shrubby or small tree-like growth habit, with multiple stems arising from the base ","• Leaves: alternate, lanceolate to ovate in shape, and have serrated margins, are greyish-green in colour and have a hairy underside | • Bark: smooth and greyish-brown when young, becoming rougher and more fissured with age | • It may develop a reddish tinge on older branches and trunks","• Commonly found in wetland habitats, including marshes, fens, bogs, and riparian zones | • They are often associated with other wetland species and can tolerate waterlogged soils and periodic flooding","• Catkins in early spring before the leaves emerge | • The catkins are cylindrical in shape and appear in clusters on separate male and female trees | • Male catkins are longer and more slender, while female catkins are shorter and more compact",• Catkins in early spring before the leaves emerge,https://freetrees.ie/the-grey-willow-tree-salix-cinerea
Willow,White Willow,white_willow_id,"• They can grow to heights of 3-6 meters, depending on environmental conditions and growing conditions| • Shape: A shrubby or small tree-like growth habit, with multiple stems arising from the base ","• Leaves: alternate, lanceolate to ovate in shape, and have serrated margins, are light green in colour on the upper surface and have a whitish or silvery underside, particularly when young | • Bark: smooth and greyish-brown when young, becoming rougher and more fissured with age | • It may develop a reddish or yellowish tinge on older branches and trunks","• Commonly found in wetland habitats, including marshes, fens, bogs, and riparian zones | • They are often associated with other wetland species and can tolerate waterlogged soils and periodic flooding","• Catkins in early spring before the leaves emerge | • The catkins are cylindrical in shape and appear in clusters on separate male and female trees | • Male catkins are longer and more slender, while female catkins are shorter and more compact",• Catkins in early spring before the leaves emerge,https://freetrees.ie/the-white-willow-tree-salix-alba
Guelder Rose,Guelder Rose,guelder_rose_id,,"• Leaves: opposite, palmately lobed, and serrated along the margins, are dark green in color and turn shades of red and purple in autumn before falling | • Bark: greyish-brown and develops shallow fissures and ridges with age | • It has a rough texture and becomes more textured over time","• Commonly found in a variety of habitats, including woodlands, hedgerows, and wetlands | • They prefer moist, well-drained soils and are often associated with other shrub and tree species","• Large, flat clusters of white flowers in late spring to early summer | • The flowers have five petals and are attractive to pollinators such as bees, butterflies, and hoverflies | • Clusters of small, glossy red berries known as drupes | • The berries are toxic to humans but are consumed by birds and other wildlife","• They are dark green in color and turn shades of red and purple in autumn before falling | • Large, flat clusters of white flowers in late spring to early summer",https://freetrees.ie/the-guelder-rose-tree-viburnum-opulus
Holly,Holly,holly_id,"• Shape: A compact, pyramidal or conical shape, with dense foliage that provides year-round interest","• Leaves: glossy, dark green, and leathery in texture, are oval-shaped with spiny margins and arranged alternately along the stems | • Bark: smooth and grey when young, becoming rougher with age and developing fissures and ridges | • Sharp, spiny leaves which act as a deterrent against browsing animals and contribute to their distinctive appearance",,"• Female Holly trees produce clusters of bright red berries in autumn, which persist through winter | • These berries are a key characteristic of the tree and are toxic to humans but provide a valuable food source for birds","• Female Holly trees produce clusters of bright red berries in autumn, which persist through winter",https://freetrees.ie/the-holly-tree-ilex-aquifolium
Spindle,Spindle,spindle_id,"• The twigs are slender, greenish-brown, and have distinctive corky ridges | •  Shape: They often have a zigzag or wavy appearance, especially on older branches","• Leaves: opposite, elliptical to lanceolate in shape, and have serrated margins, are dark green in color and turn vibrant shades of red, orange, and pink in autumn before falling | • Bark: greyish-brown and smooth when young, becoming rougher and more fissured with age | • It has a distinctive corky appearance and is often mottled with lighter patches","• Commonly found in hedgerows, woodlands, scrubland, and mixed-species stands | • Prefer well-drained soils and are often associated with other broadleaf tree and shrub species","• Unique, four-lobed pink to reddish-purple fruits that resemble capsules or pods | • These fruits contain bright orange seeds that are revealed when the fruit splits open in autumn","• They are dark green in color and turn vibrant shades of red, orange, and pink in autumn before falling | • These fruits contain bright orange seeds that are revealed when the fruit splits open in autumn",https://freetrees.ie/the-spindle-tree-euonymus-europaeus
